mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,double_delta_mfcc_1,double_delta_mfcc_2,double_delta_mfcc_3,double_delta_mfcc_4,double_delta_mfcc_5,double_delta_mfcc_6,double_delta_mfcc_7,double_delta_mfcc_8,double_delta_mfcc_9,double_delta_mfcc_10,double_delta_mfcc_11,double_delta_mfcc_12,double_delta_mfcc_13,file
-543.3407,59.24269,-2.0757215,11.7643,9.415854,-6.574404,0.55738455,3.3405664,-4.351322,0.64378446,-1.0086559,-2.7018583,1.1425315,32.919643,32.919643,32.919643,32.919643,32.919643,-4.4488063,-0.7785445,-1.3268416,-0.4550753,-0.4550753,-0.4550753,-0.4550753,-0.4550753,-32.817516,-32.817516,-32.817516,-32.817516,-32.817516,3.1881733,0.008236607,0.77430594,0.5489256,0.5489256,0.5489256,0.5489256,0.5489256,output1.wav
-456.46063,44.242104,-6.0124354,4.3044424,8.389402,-4.9336624,-9.869618,-2.3499367,-7.797264,0.33926347,-8.348992,0.41059005,0.7981362,27.298748,27.298748,27.298748,27.298748,27.298748,-3.542227,-0.8505229,-0.88620645,-0.14336425,-0.14336425,-0.14336425,-0.14336425,-0.14336425,-27.567123,-27.567123,-27.567123,-27.567123,-27.567123,2.726864,-0.11501643,1.1177374,1.2152926,1.2152926,1.2152926,1.2152926,1.2152926,output2.wav
-518.12604,48.79899,-14.110176,-7.3029175,2.9412885,13.348977,-4.090949,1.6541222,9.201992,0.54584455,4.248511,-2.3429396,-3.6847093,33.47613,33.47613,33.47613,33.47613,33.47613,-1.8699038,1.6301265,0.19080424,-0.96681833,-0.96681833,-0.96681833,-0.96681833,-0.96681833,-30.114073,-30.114073,-30.114073,-30.114073,-30.114073,2.4784698,-1.2852945,-0.97593975,-0.3603318,-0.3603318,-0.3603318,-0.3603318,-0.3603318,output3.wav
-611.7348,29.619112,1.2734803,9.717866,-1.0514594,-1.8867574,-2.0904279,-0.09393333,2.5242436,-5.4920897,-1.5866809,-0.86400634,-5.455888,39.15941,39.15941,39.15941,39.15941,39.15941,-2.6225848,-0.8021047,-0.77548575,-0.3156687,-0.3156687,-0.3156687,-0.3156687,-0.3156687,-36.702995,-36.702995,-36.702995,-36.702995,-36.702995,1.5504253,0.18291958,0.61250144,-0.27611834,-0.27611834,-0.27611834,-0.27611834,-0.27611834,output4.wav
-487.77136,62.416843,-3.4558454,-0.08864199,-6.7069182,-7.196074,-13.816851,-3.841252,-4.6957216,0.87505245,-3.6251068,-1.4799919,1.6310494,28.428314,28.428314,28.428314,28.428314,28.428314,-4.4083657,0.15985422,0.48239028,1.2599984,1.2599984,1.2599984,1.2599984,1.2599984,-28.101492,-28.101492,-28.101492,-28.101492,-28.101492,4.847136,0.7844824,0.70532686,0.17536515,0.17536515,0.17536515,0.17536515,0.17536515,output5.wav
-726.7737,44.063725,12.76537,10.927609,6.7848287,1.0070671,-1.2215065,4.1151514,0.16221276,-1.3695884,2.3967102,-0.9618997,-0.119878165,45.833393,45.833393,45.833393,45.833393,45.833393,-4.019566,-1.4750564,-1.0681998,-0.52956724,-0.52956724,-0.52956724,-0.52956724,-0.52956724,-44.23984,-44.23984,-44.23984,-44.23984,-44.23984,2.2746081,0.80783653,0.6102073,0.27622148,0.27622148,0.27622148,0.27622148,0.27622148,output6.wav
-885.20197,17.284742,5.343968,2.75013,-0.8887077,-3.9704356,-0.8896028,1.3918855,-1.0631655,0.20418784,0.6928953,0.17228678,-0.8013123,57.828148,57.828148,57.828148,57.828148,57.828148,-1.5043501,-0.35381186,0.04348534,0.24591745,0.24591745,0.24591745,0.24591745,0.24591745,-53.423817,-53.423817,-53.423817,-53.423817,-53.423817,1.2903886,0.57782423,0.25096604,-0.16927247,-0.16927247,-0.16927247,-0.16927247,-0.16927247,output7.wav
-1012.48145,12.683001,3.66427,-3.6192389,0.9886505,-0.052374367,0.9699331,-0.89138865,-1.8088019,-0.9668845,-0.6022568,0.3851639,-1.1157765,66.66909,66.66909,66.66909,66.66909,66.66909,-1.0930295,-0.2590494,0.1106189,-0.17208281,-0.17208281,-0.17208281,-0.17208281,-0.17208281,-61.281418,-61.281418,-61.281418,-61.281418,-61.281418,0.7464851,0.12303036,-0.10304487,0.1376521,0.1376521,0.1376521,0.1376521,0.1376521,output8.wav
-617.80255,44.201965,3.7535725,9.339211,-0.33375785,-4.6630177,-5.2107997,0.59645253,0.8898343,-2.4012487,-1.575001,2.7875948,3.7908175,38.5337,38.5337,38.5337,38.5337,38.5337,-3.6227772,-0.813817,-0.32176706,0.7187339,0.7187339,0.7187339,0.7187339,0.7187339,-36.84227,-36.84227,-36.84227,-36.84227,-36.84227,2.837568,0.6027375,0.96153843,0.3264956,0.3264956,0.3264956,0.3264956,0.3264956,output9.wav
-683.5761,17.433214,-7.2839117,12.069892,-1.9183426,-10.067063,-6.9356556,-0.6622391,-4.128175,-1.8934315,0.862075,0.71849126,-0.7307899,44.034416,44.034416,44.034416,44.034416,44.034416,-1.6386825,-0.0720144,-0.29849342,0.8578524,0.8578524,0.8578524,0.8578524,0.8578524,-41.16937,-41.16937,-41.16937,-41.16937,-41.16937,1.3329595,0.56473416,1.4019367,0.07572041,0.07572041,0.07572041,0.07572041,0.07572041,output10.wav
-888.232,51.882195,13.714443,11.147038,11.019252,4.0392385,-0.36941817,1.2113478,3.431196,-5.4613876,-4.4433975,-4.855681,-4.5213394,56.322746,56.322746,56.322746,56.322746,56.322746,-4.8580685,-2.3410108,-2.0933244,-1.7277969,-1.7277969,-1.7277969,-1.7277969,-1.7277969,-54.086754,-54.086754,-54.086754,-54.086754,-54.086754,2.2924309,0.22059232,0.3404524,0.47263145,0.47263145,0.47263145,0.47263145,0.47263145,output11.wav
-601.88257,70.883095,6.365144,7.971088,-2.8703275,-5.7191324,-9.457714,4.2765446,-1.7607766,-2.7026386,2.0374045,5.044104,-2.152196,35.92219,35.92219,35.92219,35.92219,35.92219,-5.544953,-0.61862266,0.27908644,0.85288817,0.85288817,0.85288817,0.85288817,0.85288817,-35.35072,-35.35072,-35.35072,-35.35072,-35.35072,4.6910424,1.1317697,1.1496809,-0.16782305,-0.16782305,-0.16782305,-0.16782305,-0.16782305,output12.wav
-556.4969,59.004948,-12.270328,14.312324,-0.301929,4.5742745,1.4317745,6.031027,3.6304278,1.0443845,-0.21207158,-0.23163597,5.3263793,34.98756,34.98756,34.98756,34.98756,34.98756,-3.316148,0.29584455,-1.0461233,-0.002980548,-0.002980548,-0.002980548,-0.002980548,-0.002980548,-33.015877,-33.015877,-33.015877,-33.015877,-33.015877,2.9165852,-1.033688,0.30093938,-0.06832272,-0.06832272,-0.06832272,-0.06832272,-0.06832272,output13.wav
-617.4557,87.54601,-24.43124,-14.987733,-7.711381,-1.8607106,-3.7814162,7.7189226,5.417343,4.5151205,-1.479681,-2.4677618,-1.407277,38.440624,38.440624,38.440624,38.440624,38.440624,-3.2205758,3.1025312,1.5120901,0.41324884,0.41324884,0.41324884,0.41324884,0.41324884,-34.207504,-34.207504,-34.207504,-34.207504,-34.207504,5.9206853,-1.7411754,-1.63748,-1.211815,-1.211815,-1.211815,-1.211815,-1.211815,output14.wav
-870.74506,2.6792688,15.084488,4.0034146,-3.621784,-5.0521827,3.3096454,-1.3970777,-3.915598,1.7056698,-1.8796141,0.9475103,0.58034235,57.041393,57.041393,57.041393,57.041393,57.041393,-1.0794035,-1.1947027,-0.011777436,0.45886356,0.45886356,0.45886356,0.45886356,0.45886356,-53.113445,-53.113445,-53.113445,-53.113445,-53.113445,0.6200429,1.1113498,0.35742632,-0.11313296,-0.11313296,-0.11313296,-0.11313296,-0.11313296,output15.wav
-868.4509,32.71208,-10.59448,15.830267,1.3411176,2.4706979,2.5972574,4.245721,0.8178336,4.397424,0.70377403,5.3299575,3.0532358,56.745,56.745,56.745,56.745,56.745,-1.6822438,0.19371569,-0.69732064,0.19651647,0.19651647,0.19651647,0.19651647,0.19651647,-52.616848,-52.616848,-52.616848,-52.616848,-52.616848,1.5014185,-0.6899173,0.8850316,-0.026086379,-0.026086379,-0.026086379,-0.026086379,-0.026086379,output16.wav
-432.82703,42.80191,-27.816343,7.18,1.6874988,3.6351979,-13.762446,2.0583375,-0.3699929,-4.961144,4.3956137,-1.1148332,1.7623733,27.202673,27.202673,27.202673,27.202673,27.202673,-2.2401073,1.4455426,-0.48092028,0.2557674,0.2557674,0.2557674,0.2557674,0.2557674,-25.325699,-25.325699,-25.325699,-25.325699,-25.325699,1.9932913,-1.0223585,0.91363364,0.53229696,0.53229696,0.53229696,0.53229696,0.53229696,output17.wav
-975.8863,17.355453,3.1348376,1.2284914,2.5772948,0.72810996,-1.4708545,0.18011466,-3.725918,1.2317513,1.5175936,-1.7554904,0.044383585,63.790062,63.790062,63.790062,63.790062,63.790062,-1.5203663,-0.32689363,-0.27271354,-0.17589855,-0.17589855,-0.17589855,-0.17589855,-0.17589855,-59.317127,-59.317127,-59.317127,-59.317127,-59.317127,1.0209169,0.36938536,0.1795935,0.25185728,0.25185728,0.25185728,0.25185728,0.25185728,output18.wav
-837.424,51.59771,-4.85431,11.12936,-7.3366313,7.720261,-7.1218405,4.150833,-4.491602,1.9680114,-0.8603903,-0.86621195,-0.18910362,53.024082,53.024082,53.024082,53.024082,53.024082,-3.519549,-0.15646228,-0.6237971,0.21951284,0.21951284,0.21951284,0.21951284,0.21951284,-50.349133,-50.349133,-50.349133,-50.349133,-50.349133,3.0380218,-0.071592934,0.5776941,-0.24474612,-0.24474612,-0.24474612,-0.24474612,-0.24474612,output19.wav
-667.2286,3.0210953,-7.842905,6.7589025,1.4195042,-8.641185,-7.556332,6.5726986,-8.931999,2.9572616,5.0701303,0.6042047,0.9438169,43.816902,43.816902,43.816902,43.816902,43.816902,-0.21451436,0.5793016,0.13590522,0.7911818,0.7911818,0.7911818,0.7911818,0.7911818,-40.559605,-40.559605,-40.559605,-40.559605,-40.559605,0.47720048,0.5124812,0.9651807,0.10050737,0.10050737,0.10050737,0.10050737,0.10050737,output20.wav
-918.68384,20.7603,2.6592374,-0.03007874,-2.4148376,-1.2097775,-4.1723366,-0.8539704,-0.17005269,-1.3990202,-2.3594525,1.3791386,-4.2045293,59.90616,59.90616,59.90616,59.90616,59.90616,-1.6755072,-0.32227013,0.15711372,0.06147833,0.06147833,0.06147833,0.06147833,0.06147833,-55.21014,-55.21014,-55.21014,-55.21014,-55.21014,1.5211905,0.29783517,0.25135076,-0.19523926,-0.19523926,-0.19523926,-0.19523926,-0.19523926,output21.wav
-810.8151,46.289593,-6.111412,1.3418046,6.5699935,3.094732,-1.8839607,7.744107,-1.7259485,1.2287786,-8.676111,-1.1571745,-4.7779408,52.182133,52.182133,52.182133,52.182133,52.182133,-2.7122703,-0.37567306,-0.98846877,-1.304118,-1.304118,-1.304118,-1.304118,-1.304118,-48.73544,-48.73544,-48.73544,-48.73544,-48.73544,2.2974207,-1.2584199,-0.2979977,0.06536985,0.06536985,0.06536985,0.06536985,0.06536985,output22.wav
-812.88245,39.880386,-0.07745463,5.1331863,-2.5718858,-2.0915174,-5.1767097,-1.1546586,-2.981706,-3.9299116,-1.7748724,-2.3377898,-2.0960035,51.651245,51.651245,51.651245,51.651245,51.651245,-3.3189077,-0.56436247,-0.4829108,0.086552225,0.086552225,0.086552225,0.086552225,0.086552225,-48.769165,-48.769165,-48.769165,-48.769165,-48.769165,2.4392369,0.3456833,0.55801183,0.08653337,0.08653337,0.08653337,0.08653337,0.08653337,output23.wav
-853.0446,43.848778,8.672965,13.386936,8.40952,12.259734,5.401346,2.478551,-3.3735788,-0.059720185,0.4049442,1.0494093,0.46731424,54.448383,54.448383,54.448383,54.448383,54.448383,-3.9433095,-1.7793239,-1.7796278,-1.2988479,-1.2988479,-1.2988479,-1.2988479,-1.2988479,-52.753674,-52.753674,-52.753674,-52.753674,-52.753674,1.4205325,-0.111240976,0.6153155,0.69613963,0.69613963,0.69613963,0.69613963,0.69613963,output24.wav
-708.2763,55.593666,-7.8318143,11.539506,6.882584,9.659153,-1.9900401,7.596437,3.5606127,-5.74529,0.5861023,1.1917557,-1.4160825,45.21932,45.21932,45.21932,45.21932,45.21932,-3.798955,-0.44815633,-1.4256446,-1.113105,-1.113105,-1.113105,-1.113105,-1.113105,-42.660526,-42.660526,-42.660526,-42.660526,-42.660526,2.0268664,-1.0809745,0.43033928,0.29776657,0.29776657,0.29776657,0.29776657,0.29776657,output25.wav
-537.3976,59.924625,3.4231548,12.167957,20.733461,1.4727566,-9.414586,-0.62302643,-2.9819055,-6.2194586,-0.7240249,1.9909259,0.03335927,31.994152,31.994152,31.994152,31.994152,31.994152,-5.6586924,-2.0212915,-1.9005389,-1.1576868,-1.1576868,-1.1576868,-1.1576868,-1.1576868,-33.1475,-33.1475,-33.1475,-33.1475,-33.1475,2.5813808,0.32261688,1.7266002,1.8675022,1.8675022,1.8675022,1.8675022,1.8675022,output26.wav
-584.5995,39.559914,8.526555,8.884077,8.323301,7.25843,4.7623115,4.2097306,1.1230915,2.773978,3.1333718,3.617265,2.9144557,37.128094,37.128094,37.128094,37.128094,37.128094,-3.0377302,-0.95586914,-0.8207527,-0.6208752,-0.6208752,-0.6208752,-0.6208752,-0.6208752,-35.883446,-35.883446,-35.883446,-35.883446,-35.883446,1.6894416,0.09157627,0.35871983,0.40354267,0.40354267,0.40354267,0.40354267,0.40354267,output27.wav
-645.16516,44.06793,-6.4068627,-3.9564142,1.1965703,3.5758407,-8.625323,-0.6116671,-0.05583573,-0.37525976,-1.9639219,0.32621092,0.2296083,40.824898,40.824898,40.824898,40.824898,40.824898,-2.6975346,0.3637151,0.13860518,-0.0009587864,-0.0009587864,-0.0009587864,-0.0009587864,-0.0009587864,-38.223373,-38.223373,-38.223373,-38.223373,-38.223373,2.7477758,-0.32838538,0.058855508,0.36765322,0.36765322,0.36765322,0.36765322,0.36765322,output28.wav
-774.89734,46.41546,12.741286,7.2956553,4.2436714,1.4564172,-1.2019417,-1.4530159,1.1301903,1.7357587,-0.006892109,2.1432974,1.8124692,48.77965,48.77965,48.77965,48.77965,48.77965,-3.941584,-1.2801466,-0.5078384,-0.034754902,-0.034754902,-0.034754902,-0.034754902,-0.034754902,-46.9193,-46.9193,-46.9193,-46.9193,-46.9193,2.8522847,0.86747414,0.6465169,0.3831822,0.3831822,0.3831822,0.3831822,0.3831822,output29.wav
-633.7009,66.345825,-2.3565364,10.684608,4.0824924,3.1643693,1.7841184,-2.10614,2.7657964,4.919406,6.003598,-3.2263565,-4.85267,39.021202,39.021202,39.021202,39.021202,39.021202,-4.3036423,0.1373505,-0.75647986,-0.657472,-0.657472,-0.657472,-0.657472,-0.657472,-37.941578,-37.941578,-37.941578,-37.941578,-37.941578,3.8239043,0.22269969,0.3886098,-0.40571877,-0.40571877,-0.40571877,-0.40571877,-0.40571877,output30.wav
-852.33167,35.349834,-8.464328,2.6412132,-1.6071197,-2.228344,-2.7691233,3.5879648,-0.87963325,2.035004,-1.7303696,2.155435,-2.2717745,55.284058,55.284058,55.284058,55.284058,55.284058,-1.8295623,0.5398081,0.1350554,0.18362108,0.18362108,0.18362108,0.18362108,0.18362108,-50.87091,-50.87091,-50.87091,-50.87091,-50.87091,2.2738037,-0.43410188,0.22242427,-0.3271023,-0.3271023,-0.3271023,-0.3271023,-0.3271023,output31.wav
-768.32306,40.257416,2.768578,7.6692224,2.699233,3.7448246,3.2105095,3.5718405,1.879697,-0.98686767,3.311979,1.0503973,0.48928177,49.461895,49.461895,49.461895,49.461895,49.461895,-2.922121,-0.4267787,-0.590521,-0.3546476,-0.3546476,-0.3546476,-0.3546476,-0.3546476,-46.427414,-46.427414,-46.427414,-46.427414,-46.427414,1.8762395,-0.017733457,0.22985683,-0.023535537,-0.023535537,-0.023535537,-0.023535537,-0.023535537,output32.wav
-776.78314,48.690464,-2.9972599,27.094948,18.045395,1.6811826,2.7898297,3.1330261,-2.9969738,-2.015481,-4.1324925,-2.9809573,-0.8719416,49.077213,49.077213,49.077213,49.077213,49.077213,-4.433372,-2.2084186,-3.3336236,-1.8108153,-1.8108153,-1.8108153,-1.8108153,-1.8108153,-48.310654,-48.310654,-48.310654,-48.310654,-48.310654,1.3750944,-0.6106111,1.5500376,1.1329887,1.1329887,1.1329887,1.1329887,1.1329887,output33.wav
-561.2005,52.19157,-11.466083,26.50057,23.249933,-6.1701837,-2.3820624,7.5846095,-6.5615616,-6.0455613,-0.8020917,-0.6941702,-4.933502,34.50387,34.50387,34.50387,34.50387,34.50387,-4.6949816,-1.6808438,-3.0810883,-1.7795988,-1.7795988,-1.7795988,-1.7795988,-1.7795988,-35.018906,-35.018906,-35.018906,-35.018906,-35.018906,1.4326043,-0.67150384,2.1164274,1.2886369,1.2886369,1.2886369,1.2886369,1.2886369,output34.wav
-1032.3599,18.5426,-3.311189,-0.49562216,-2.2909732,-1.984214,-1.911681,0.78413075,1.1488115,0.29938528,0.060199898,-0.5832583,0.05413243,68.03449,68.03449,68.03449,68.03449,68.03449,-0.9442344,0.4253082,0.23884442,0.28403842,0.28403842,0.28403842,0.28403842,0.28403842,-61.923946,-61.923946,-61.923946,-61.923946,-61.923946,1.3447193,-0.05330957,-0.07588586,-0.23200865,-0.23200865,-0.23200865,-0.23200865,-0.23200865,output35.wav
-835.61957,28.337847,-20.79824,-5.631345,-3.623179,4.0789456,-6.437147,0.4459639,-9.541548,-1.6291263,-0.4915419,-0.82756484,-3.984891,54.317814,54.317814,54.317814,54.317814,54.317814,-1.279286,1.2960622,0.23482478,-0.10583765,-0.10583765,-0.10583765,-0.10583765,-0.10583765,-50.10019,-50.10019,-50.10019,-50.10019,-50.10019,1.4424142,-1.060173,0.0724404,0.1647358,0.1647358,0.1647358,0.1647358,0.1647358,output36.wav
-755.52686,40.64647,-9.80578,13.421568,1.2115188,-0.50852907,-2.1255133,-0.43724877,-0.833697,0.2609068,0.62348175,-1.5884515,-1.5121082,48.28253,48.28253,48.28253,48.28253,48.28253,-2.7613444,-0.029734766,-0.9828917,-0.13230217,-0.13230217,-0.13230217,-0.13230217,-0.13230217,-45.551804,-45.551804,-45.551804,-45.551804,-45.551804,2.1488402,-0.22892018,0.8770667,0.018598784,0.018598784,0.018598784,0.018598784,0.018598784,output37.wav
-841.82715,47.880604,-6.0105457,-9.225482,-3.0745878,-2.4369423,-4.0616016,-1.6996213,-2.8141394,-1.5388834,0.25843385,-0.23165962,0.9049237,53.633297,53.633297,53.633297,53.633297,53.633297,-2.9004004,0.8232322,0.8169656,0.52224505,0.52224505,0.52224505,0.52224505,0.52224505,-49.754025,-49.754025,-49.754025,-49.754025,-49.754025,3.2321434,-0.08170186,-0.22040349,0.13491753,0.13491753,0.13491753,0.13491753,0.13491753,output38.wav
-522.9524,32.816418,20.759737,8.844935,7.857362,2.5287418,-10.733964,-1.3896482,1.4779027,-3.8411174,0.4833582,-2.1061397,3.9193008,32.096657,32.096657,32.096657,32.096657,32.096657,-4.0589356,-2.2640164,-1.1075693,-0.16122855,-0.16122855,-0.16122855,-0.16122855,-0.16122855,-32.060616,-32.060616,-32.060616,-32.060616,-32.060616,1.9602965,1.6243852,0.9582605,1.0261354,1.0261354,1.0261354,1.0261354,1.0261354,output39.wav
-543.3407,59.24269,-2.0757215,11.7643,9.415854,-6.574404,0.55738455,3.3405664,-4.351322,0.64378446,-1.0086559,-2.7018583,1.1425315,32.919643,32.919643,32.919643,32.919643,32.919643,-4.4488063,-0.7785445,-1.3268416,-0.4550753,-0.4550753,-0.4550753,-0.4550753,-0.4550753,-32.817516,-32.817516,-32.817516,-32.817516,-32.817516,3.1881733,0.008236607,0.77430594,0.5489256,0.5489256,0.5489256,0.5489256,0.5489256,output40.wav
-639.98364,36.94078,-9.889363,-2.3703322,-9.460684,-6.6090865,-3.9861376,4.8870964,-5.64078,-0.9310415,3.0158958,-5.446256,-3.5794072,40.81297,40.81297,40.81297,40.81297,40.81297,-1.9792023,1.2512484,0.58045816,0.5866588,0.5866588,0.5866588,0.5866588,0.5866588,-37.514763,-37.514763,-37.514763,-37.514763,-37.514763,2.684427,0.030825952,-0.29814133,-0.85754406,-0.85754406,-0.85754406,-0.85754406,-0.85754406,output41.wav
-562.95416,65.25582,-3.1746073,31.392384,9.077961,-6.955025,-7.851317,5.0296254,-4.6301117,-4.653999,0.65288365,5.1749153,-1.4243648,33.41528,33.41528,33.41528,33.41528,33.41528,-5.894343,-1.8043447,-2.0386975,0.028421588,0.028421588,0.028421588,0.028421588,0.028421588,-34.435387,-34.435387,-34.435387,-34.435387,-34.435387,3.1798472,0.5860082,2.8061998,0.74814713,0.74814713,0.74814713,0.74814713,0.74814713,output42.wav
-579.9934,28.8534,16.809282,-0.30796564,17.091042,-8.119615,-0.9534042,-2.8337464,-1.0820554,-2.4688053,-1.2337382,-3.8074348,-0.59704024,36.28745,36.28745,36.28745,36.28745,36.28745,-3.3676474,-1.8285822,-0.9633208,-0.96685857,-0.96685857,-0.96685857,-0.96685857,-0.96685857,-35.526783,-35.526783,-35.526783,-35.526783,-35.526783,1.6494489,1.0690069,0.3717641,1.0987539,1.0987539,1.0987539,1.0987539,1.0987539,output43.wav
-493.22787,63.913097,1.1005155,29.331713,8.030619,-3.0218203,-5.607298,5.8605037,5.9053273,-1.865817,1.9761219,0.9039364,-0.61442524,29.610098,29.610098,29.610098,29.610098,29.610098,-5.1546926,-1.424307,-1.9674994,-0.25603977,-0.25603977,-0.25603977,-0.25603977,-0.25603977,-29.715242,-29.715242,-29.715242,-29.715242,-29.715242,3.2988462,0.49958417,1.8040473,0.077622116,0.077622116,0.077622116,0.077622116,0.077622116,output44.wav
-859.51685,19.272926,-7.3726034,2.6661527,0.16502641,-1.232982,-3.5843275,2.6958377,3.0411217,-0.1282964,1.8233925,-1.8391107,0.9496901,56.7363,56.7363,56.7363,56.7363,56.7363,-0.83422834,0.6346941,-0.07018559,0.15519291,0.15519291,0.15519291,0.15519291,0.15519291,-51.44491,-51.44491,-51.44491,-51.44491,-51.44491,1.1809981,-0.2520435,0.0071083945,-0.17462282,-0.17462282,-0.17462282,-0.17462282,-0.17462282,output45.wav
-1008.71625,15.654407,-1.8402628,0.5006315,-1.4150587,0.60602796,-1.7074037,-0.4212927,-0.64515525,-0.13887775,1.4614733,-0.67755634,-0.47418162,66.40714,66.40714,66.40714,66.40714,66.40714,-1.0287335,0.19668172,0.0581547,0.10888208,0.10888208,0.10888208,0.10888208,0.10888208,-60.860645,-60.860645,-60.860645,-60.860645,-60.860645,0.98996425,0.08531485,0.08669516,-0.06278352,-0.06278352,-0.06278352,-0.06278352,-0.06278352,output46.wav
-527.8445,57.14202,5.7976675,9.18083,17.389208,-10.604035,0.012873972,-4.790054,-4.899878,-1.7475004,1.2129042,-2.4829352,-1.901033,31.243795,31.243795,31.243795,31.243795,31.243795,-5.216147,-1.4981372,-1.373061,-0.7892508,-0.7892508,-0.7892508,-0.7892508,-0.7892508,-32.295353,-32.295353,-32.295353,-32.295353,-32.295353,3.1135285,0.88713574,1.2888491,1.1718395,1.1718395,1.1718395,1.1718395,1.1718395,output47.wav
-613.7514,66.7973,1.5829943,3.3107667,-0.96603006,5.180368,-3.2870529,9.000206,-3.1081161,1.7494328,-0.61099505,0.26056385,1.4686137,37.688522,37.688522,37.688522,37.688522,37.688522,-4.420116,-0.23207156,-0.29697734,-0.11532491,-0.11532491,-0.11532491,-0.11532491,-0.11532491,-36.478096,-36.478096,-36.478096,-36.478096,-36.478096,3.850303,-0.17337263,-0.081745826,-0.080602355,-0.080602355,-0.080602355,-0.080602355,-0.080602355,output48.wav
-685.04004,21.641779,7.058707,14.34513,-0.41143224,-5.6600823,-8.212572,-0.18704192,-5.138319,-0.3980124,-1.6644517,-0.84472054,0.3693103,43.392876,43.392876,43.392876,43.392876,43.392876,-2.6935954,-1.3850466,-0.8486678,0.5075721,0.5075721,0.5075721,0.5075721,0.5075721,-41.78571,-41.78571,-41.78571,-41.78571,-41.78571,1.6337948,1.2050207,1.3910196,0.31388628,0.31388628,0.31388628,0.31388628,0.31388628,output49.wav
